Surface,NbPieces,NbChambres,NbSDB,Prix,Type_Appartement,Type_Maison,DPE_A,DPE_B,DPE_C,DPE_D,DPE_E,DPE_F,DPE_Vierge,latitude,longitude
100,5,3,1,163000,0,1,0,0,0,0,0,0,1,48.587355138,3.138417782
70,4,2,1,120000,1,0,0,0,0,0,0,0,1,48.657051798,2.38747617
122,6,4,2,450000,0,1,0,0,0,0,0,0,1,49.051577748,2.094574042
63,3,2,1,168000,1,0,0,0,0,0,0,0,1,48.714730715,2.591727479
63,3,2,1,168000,1,0,0,0,0,0,0,0,1,48.714730715,2.591727479
63,3,2,1,168000,1,0,0,0,0,0,0,0,1,48.714730715,2.591727479
63,3,2,1,168000,1,0,0,0,0,0,0,0,1,48.714730715,2.591727479
90,5,3,1,270000,0,1,0,0,0,0,0,0,1,48.653675957,2.639539278
27,2,1,1,115000,1,0,0,0,0,0,0,0,1,48.945834186,2.493478267
32,3,1,1,140000,1,0,0,0,0,0,0,0,1,48.764258643,2.417182182
148,5,3,2,395000,0,1,0,0,0,0,0,0,1,48.817396568,2.516989292
50,2,1,1,420000,1,0,0,0,0,0,0,0,1,48.834961818,2.42138541
170,9,5,2,670000,0,1,0,0,0,0,0,0,1,48.817396568,2.516989292
74,3,2,1,289000,1,0,0,0,0,0,0,0,1,48.783768446,2.454728618
67,3,2,1,185000,1,0,0,0,0,0,0,0,1,48.971716801,2.326433561
21,1,1,1,77000,1,0,0,0,0,0,0,0,1,48.524357339,2.697674267
100,3,2,2,149000,0,1,0,0,0,0,0,0,1,48.876129334,2.360715102
100,3,2,2,149000,0,1,0,0,0,0,0,0,1,48.876129334,2.360715102
64,3,2,1,210000,1,0,0,0,0,0,0,0,1,48.71619444,2.493068637
100,3,2,2,149000,0,1,0,0,0,0,0,0,1,48.876129334,2.360715102
70,3,2,1,172000,1,0,0,0,0,0,0,0,1,48.817396568,2.516989292
34,1,1,1,225000,1,0,0,0,0,0,0,0,1,48.863457789,2.401155799
30,2,2,1,28900,0,1,0,0,0,0,0,0,1,48.344351413,2.897954226
70,3,2,1,85000,1,0,0,0,0,0,0,0,1,48.862549876,2.336419316
100,3,2,2,149000,0,1,0,0,0,0,0,0,1,48.876129334,2.360715102
31,5,2,1,158000,1,0,0,0,0,0,0,0,1,48.802486955,1.7682772240000002
48,2,1,1,315000,1,0,0,0,0,0,0,0,1,48.876129334,2.360715102
45,2,1,1,35000,0,1,0,0,0,0,0,0,1,48.876129334,2.360715102
100,3,2,2,149000,0,1,0,0,0,0,0,0,1,48.876129334,2.360715102
100,3,2,2,149000,0,1,0,0,0,0,0,0,1,48.876129334,2.360715102
105,4,3,1,250000,1,0,0,0,0,0,0,0,1,48.86287791,2.3599986
65,3,2,1,240000,1,0,0,0,0,0,0,0,1,49.019103435,2.160347072
67,4,3,1,210000,1,0,0,0,0,0,0,0,1,48.406515646,2.680925371
60,3,2,1,215000,1,0,0,0,0,0,0,0,1,48.60739655,2.623860846
35,5,2,1,56000,0,1,0,0,0,0,0,0,1,48.94283572,1.60729331
65,3,2,1,240000,1,0,0,0,0,0,0,0,1,49.019103435,2.160347072
50,3,2,1,75000,0,1,0,0,0,0,0,0,1,48.563172865,3.219258483
